category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weightingms,outofstock,quantity,discountamount,discountpercent_calculated
Fruits & Vegetables,Banana Nendran,54.0,16,6,45.0,500,False,500,9.0,16.666666666666664
Fruits & Vegetables,Pumpkin Cut,30.0,16,3,25.0,200,False,200,5.0,16.666666666666664
Fruits & Vegetables,Banana Red,54.0,16,6,45.0,500,False,500,9.0,16.666666666666664
Fruits & Vegetables,Radish White,23.0,17,6,19.0,500,False,500,4.0,17.391304347826086
Fruits & Vegetables,Avocado Indian Premium,177.0,15,3,149.0,58,False,1,28.0,15.819209039548024
Fruits & Vegetables,Banana Leaf,12.0,16,2,10.0,58,False,1,2.0,16.666666666666664
Fruits & Vegetables,Sponge Gourd,25.0,16,2,21.0,300,False,300,4.0,16.0
Fruits & Vegetables,Zama Organics Carrot,20.0,15,3,17.0,250,False,250,3.0,15.0
Fruits & Vegetables,Safal Frozen - Mixed Vegetables,110.0,4,2,105.0,1000,False,1,5.0,4.545454545454546
Fruits & Vegetables,Zama Organics Sweet Potato,37.0,16,3,31.0,250,False,250,6.0,16.216216216216218
Fruits & Vegetables,Beetroot,16.0,18,3,13.0,500,False,500,3.0,18.75
Fruits & Vegetables,Capsicum,26.0,19,3,21.0,500,False,500,5.0,19.230769230769234
Fruits & Vegetables,Carrot,19.0,21,3,15.0,500,False,500,4.0,21.052631578947366
Fruits & Vegetables,Garlic,17.0,23,3,13.0,200,False,200,4.0,23.52941176470588
Fruits & Vegetables,Carrot,13.0,15,0,11.0,250,True,200,2.0,15.384615384615385
Fruits & Vegetables,Beetroot,11.0,18,0,9.0,250,True,250,2.0,18.181818181818183
Fruits & Vegetables,Moong Sprouts,35.0,17,0,29.0,200,True,200,6.0,17.142857142857142
Fruits & Vegetables,Safal Frozen Mixed Vegetables,60.0,5,0,57.0,500,True,500,3.0,5.0
Fruits & Vegetables,Safal Frozen Corn,41.0,4,0,39.0,200,True,200,2.0,4.878048780487805
Fruits & Vegetables,Safal Frozen - Sweet Corn,160.0,5,0,152.0,1000,True,1,8.0,5.0
Cooking Essentials,Maggi 2 Minute Masala Noodles,12.0,0,6,12.0,70,False,70,0.0,0.0
Cooking Essentials,iD Idli & Dosa Batter ,80.0,15,6,68.0,1000,False,1,12.0,15.0
Cooking Essentials,Tata Salt,24.0,0,6,24.0,1000,False,1,0.0,0.0
Cooking Essentials,Arden Eggs White,97.0,0,4,97.0,696,False,12,0.0,0.0
Cooking Essentials,Arden Eggs White,65.0,15,4,55.0,348,False,6,10.0,15.384615384615385
Cooking Essentials,Fortune Sunlite Refined Sunflower (Pouch),230.0,4,6,219.0,1000,False,1,11.0,4.782608695652174
Cooking Essentials,Aashirvaad Superior MP Atta,250.0,2,6,245.0,5000,False,5,5.0,2.0
Cooking Essentials,Amul Pure Ghee (Pouch),255.0,2,6,249.0,500,False,500,6.0,2.3529411764705883
Cooking Essentials,Arden Eggs Brown,85.0,7,4,79.0,348,False,6,6.0,7.0588235294117645
Cooking Essentials,Tata Salt Lite,40.0,10,6,36.0,1000,False,1,4.0,10.0
Cooking Essentials,Saffola Gold Oil (Pouch),215.0,0,6,215.0,1000,False,1,0.0,0.0
Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),925.0,0,6,925.0,5000,False,5,0.0,0.0
Cooking Essentials,Fortune Rice Bran (Pouch),225.0,11,6,199.0,1000,False,1,26.0,11.555555555555555
Cooking Essentials,Saffola Active Oil,210.0,0,6,210.0,1000,False,1,0.0,0.0
Cooking Essentials,Amul Pure Ghee (Pouch),505.0,1,2,499.0,1000,False,1,6.0,1.188118811881188
Cooking Essentials,Aashirvaad Atta,460.0,13,6,399.0,10000,False,10,61.0,13.260869565217392
Cooking Essentials,Popular Essentials Toor Dal (Un-Polished),160.0,6,4,149.0,1000,False,1,11.0,6.875000000000001
